
##### 7 switches #####
tx rx pkt_out pkt_in cpu
130 130 12507 12510 30
260 260 25014 25017 59
391 391 37614 37617 86
520 520 49965 49983 92
577 592 55458 56858 100
62 62 6006 6010 18
99 99 9512 9515 26
136 136 13028 13032 34
172 172 16510 16513 44
208 208 20010 20014 51
246 246 23597 23601 60
281 281 27041 27044 68
319 319 30692 30695 76
354 354 34031 34034 82
391 391 37566 37579 86
430 430 41345 41349 89
464 464 44665 44668 90
500 500 48099 48104 91
531 533 51097 51254 95
523 538 50279 51692 100
536 555 51560 53340 100
573 589 55086 56559 100
558 581 53682 55791 100
560 589 53885 56585 100
##### 12 switches #####
tx rx pkt_out pkt_in cpu
114 114 11012 11015 29
228 228 22046 22049 54
342 342 33035 33038 83
457 457 44081 44084 94
567 568 54740 54826 99
596 606 57486 58487 100
52 52 5007 5010 16
83 83 8009 8012 22
125 125 12017 12021 32
156 156 15029 15032 40
187 187 18035 18038 46
218 218 21027 21030 51
249 249 24061 24064 59
290 290 28034 28037 70
322 322 31092 31095 78
352 352 34026 34031 85
384 384 37056 37060 90
427 427 41190 41194 93
457 457 44085 44088 94
489 489 47209 47212 95
518 518 50030 50034 97
548 549 52906 52938 98
568 571 54853 55086 100
578 583 55779 56250 100
568 581 54809 56036 100
##### 17 switches #####
tx rx pkt_out pkt_in cpu
108 108 10509 10513 28
218 218 21017 21020 51
326 326 31523 31527 79
435 435 42031 42035 96
544 544 52575 52584 99
589 594 56925 57352 100
47 47 4504 4508 14
78 78 7505 7508 18
109 109 10509 10512 28
139 139 13505 13509 35
171 171 16508 16511 42
202 202 19513 19516 49
249 249 24009 24013 58
280 280 27037 27040 67
311 311 30010 30014 75
342 342 33050 33054 83
373 373 36071 36074 90
404 404 39076 39080 95
435 435 42031 42034 96
466 466 45058 45062 97
496 496 47896 47924 97
528 528 51044 51047 98
559 559 53964 53980 99
586 587 56650 56698 99
598 600 57784 57938 100
##### 22 switches #####
tx rx pkt_out pkt_in cpu
103 103 10009 10012 21
207 207 20016 20019 49
311 311 30052 30056 75
435 435 42043 42047 97
539 539 52125 52127 99
603 604 58314 58394 100
41 41 4006 4009 12
83 83 8007 8011 23
103 103 10009 10012 21
145 145 14017 14021 36
166 166 16014 16017 41
207 207 20016 20019 51
248 248 24028 24031 59
269 269 26052 26055 65
310 311 30051 30055 75
331 331 32021 32024 80
373 373 36062 36065 90
414 414 40031 40034 96
435 435 42046 42050 97
476 476 45979 45991 97
498 498 48118 48121 98
538 539 52051 52058 99
559 559 54051 54051 99
588 589 56866 56929 100
576 581 55719 56109 100
